debt_ratio,liquidity_ratio,non_halal_ratio,profit_margin,risk_level
0.29963209507789,0.6655000144869413,0.146398788362281,0.159195090518222,HIGH
0.12481491235394922,0.10919616423534184,0.011616722433639893,0.31970568746496114,LOW
0.48089200939456705,0.4956508044572318,0.004116898859160489,0.3819459112971966,MEDIUM
0.6659541126403374,0.1486373774747933,0.03636499344142013,-0.0899572940879397,HIGH
0.2433937943676302,0.3673295021425665,0.08638900372842316,-0.02526251588117484,LOW
0.4894823157779036,0.09764570245642928,0.058428929707043636,0.019817105976215055,MEDIUM
0.3648559873736288,0.5496231729751094,0.03993475643167195,0.10854066304816701,MEDIUM
0.473931655089634,0.03251528890399841,0.12150897038028768,-0.09768552578762509,HIGH
0.05204127438822362,0.6642198760773332,0.19312640661491187,0.28503840886987675,HIGH
0.24369101533869655,0.0683704798044687,0.1368466053024314,0.06409149624376081,HIGH
0.09763058787582307,0.34662383707788913,0.006877704223043679,0.34559224124726934,LOW
0.20702398528001353,0.46376559904778736,0.06234221521788219,0.11204081270668653,LOW
0.43736822347462373,0.12939811886786892,0.19391692555291173,0.2650796940166688,HIGH
0.7515991532513513,0.6263791452993541,0.11957999576221703,0.3531245410138702,HIGH
0.0707940016415356,0.13718800369340162,0.009045457782107613,-0.0048018015420413784,LOW
0.31094183175158563,0.18994432224172714,0.1657475018303859,0.01405199601615359,HIGH
0.22474760774990463,0.3798872582107739,0.02818484499495253,0.28131818845242385,LOW
0.05964051494381666,0.6908208556203621,0.1544489538593315,-0.08077059107949655,HIGH
0.00441769369888192,0.5708229999183839,0.14137146876952342,0.23740430082459246,HIGH
0.6170162773487566,0.05183125621386325,0.07169314570885453,-0.13047856428492216,HIGH
0.6904827407004749,0.4363086887792905,0.06617960497052984,-0.16186498982838582,HIGH
0.24878585737252978,0.2276283254187229,0.1459212356676128,0.1825344828131279,HIGH
0.7097701940610612,0.3305504476133645,0.02391884918766034,0.22794687233379707,HIGH
0.608628038893518,0.39289403829864733,0.1541934359909122,0.0962773578186345,HIGH
0.4181862635055953,0.29927871285098473,0.005083825348819038,-0.13526514380401733,MEDIUM
